amount,hour,previous_transactions_24h,failed_attempts,distance_from_home_km,account_age_days,card_present,international_transaction,transaction_type,merchant_category,is_fraud
4216.47,12,4,1,46.21,2953,Yes,Yes,POS,Other,0
5614.09,5,2,0,12.89,2350,Yes,Yes,Transfer,Other,0
3734.3,17,4,0,7.29,2316,Yes,Yes,ATM,Grocery,0
3368.85,13,3,0,40.62,84,Yes,No,POS,Restaurant,0
6069.86,15,4,0,26.47,2081,Yes,No,ATM,Restaurant,0
3575.02,6,4,0,23.7,2431,Yes,No,Online,Other,0
4695.86,6,1,0,14.87,1246,No,No,Online,Fuel,0
4400.89,15,4,0,69.37,1416,No,Yes,Online,Travel,1
6066.43,8,6,0,31.43,767,Yes,No,Online,Travel,0
41674.49,4,23,5,410.9,93,No,Yes,Online,Travel,1
7402.48,3,5,0,98.79,1023,Yes,No,Online,Grocery,0
2462.87,7,3,0,89.92,566,Yes,Yes,POS,Electronics,1
4896.46,2,3,0,21.61,2977,Yes,Yes,POS,Electronics,0
4530.66,2,1,0,11.08,708,Yes,No,POS,Other,0
2301.13,6,2,0,19.51,571,Yes,No,Online,Restaurant,0
5163.92,11,3,0,16.79,2397,Yes,Yes,POS,Other,0
44726.73,4,19,4,231.49,120,No,Yes,Online,Travel,1
1762.89,2,2,0,23.3,41,Yes,No,POS,Fuel,0
5589.35,21,3,0,33.8,1763,No,Yes,Online,Jewellery,0
1274.35,12,2,0,20.86,963,No,No,POS,Restaurant,0
2024.69,17,4,0,32.86,2087,No,No,POS,Fuel,0
3705.21,17,3,0,51.7,967,Yes,No,POS,Travel,0
6041.0,2,3,1,7.44,290,No,No,POS,Grocery,0
5371.45,14,4,2,27.18,819,Yes,No,ATM,Grocery,0
4172.36,20,6,1,61.76,1205,Yes,No,POS,Electronics,0
949.47,10,4,0,23.97,939,No,No,Online,Electronics,0
2380.9,20,5,0,28.2,1794,Yes,No,Transfer,Electronics,0
2777.76,22,3,0,27.56,376,Yes,No,POS,Grocery,0
1698.82,13,3,0,6.69,1953,No,No,Online,Restaurant,0
738.05,2,4,0,32.91,508,Yes,No,POS,Fuel,0
3826.36,14,3,0,5.45,1809,Yes,No,Transfer,Other,0
5480.16,21,1,0,10.88,1675,Yes,No,POS,Fuel,0
2623.29,13,1,0,32.26,497,No,Yes,POS,Jewellery,0
5992.48,19,1,0,24.97,1689,Yes,No,POS,Electronics,0
1147.87,12,4,1,17.83,2906,Yes,No,Transfer,Grocery,1
45922.85,0,16,2,419.98,53,No,Yes,Online,Jewellery,1
3772.58,22,1,0,29.64,2269,Yes,No,ATM,Grocery,0
2464.99,3,2,0,34.7,1601,Yes,No,ATM,Grocery,0
5195.26,10,2,0,20.19,2316,No,No,ATM,Jewellery,0
4663.17,3,4,0,89.58,1319,Yes,No,POS,Electronics,0
2593.9,15,5,0,0.33,935,No,Yes,Online,Other,0
1243.69,22,2,1,28.98,294,Yes,No,POS,Electronics,0
2382.77,23,6,0,8.48,1458,No,No,POS,Other,0
4736.38,5,1,0,34.67,2210,No,No,POS,Grocery,0
5326.38,17,3,0,19.17,2580,Yes,No,Transfer,Other,0
2472.8,20,1,1,11.95,1343,Yes,No,POS,Grocery,0
734.24,20,4,0,37.2,2078,Yes,No,ATM,Grocery,0
1093.93,12,2,3,29.33,2279,Yes,No,POS,Electronics,0
4492.16,4,5,0,19.5,728,Yes,No,Online,Jewellery,0
2563.16,11,5,0,3.76,588,No,No,Online,Travel,1
2607.8,18,1,0,33.12,1691,Yes,No,POS,Fuel,0
1597.26,14,4,0,15.34,1849,No,No,Online,Travel,0
1573.33,9,4,1,82.92,149,No,No,POS,Electronics,1
5929.17,5,6,0,57.44,2175,Yes,No,POS,Grocery,0
4595.6,15,3,1,21.87,1449,Yes,No,Online,Grocery,0
2150.4,10,3,0,23.31,1091,No,No,Online,Jewellery,0
3590.53,11,6,1,2.12,1406,Yes,No,Online,Travel,0
4015.31,22,3,0,21.26,1444,Yes,No,ATM,Electronics,0
9089.15,0,3,0,57.65,2163,Yes,No,Online,Electronics,0
1469.16,5,2,0,38.64,202,No,No,POS,Electronics,0
3980.59,22,2,0,49.22,2540,Yes,Yes,Transfer,Grocery,0
5910.63,22,3,0,34.07,818,Yes,Yes,Transfer,Jewellery,0
8446.3,7,3,0,10.21,2581,No,Yes,POS,Restaurant,0
2069.47,23,3,0,13.03,501,Yes,No,Transfer,Grocery,0
2539.63,5,0,0,11.78,1085,Yes,Yes,Transfer,Restaurant,0
5226.56,1,3,1,17.29,1130,Yes,No,Online,Electronics,0
935.6,7,2,1,39.83,537,Yes,No,ATM,Restaurant,0
81213.0,2,17,7,272.75,75,No,Yes,Transfer,Jewellery,1
11101.11,0,2,1,39.44,14,Yes,No,POS,Fuel,1
4535.66,4,2,1,23.46,2487,Yes,No,POS,Electronics,0
421.2,18,4,0,111.7,359,Yes,Yes,POS,Grocery,0
1781.07,14,3,0,6.34,2203,Yes,No,Online,Grocery,0
2118.3,14,1,0,19.59,61,Yes,No,POS,Grocery,0
6772.42,23,4,1,22.86,2598,Yes,No,POS,Other,0
3034.78,5,2,1,49.43,756,Yes,No,POS,Other,0
